raw_ip_incoming	raw_ip_outgoing	port_incoming	port_outgoing	protocol	start_time	end_time	num_packets_incoming	size_packets_incoming	num_packets_outgoing	size_packets_outgoing
212.154.160.206	212.154.160.206	21	2	6	2009-05-07 14:24:25	2009-05-07 14:27:11	4769	22241	2221	38181
188.239.13.83	188.239.13.83	2	2	2	2009-05-07 14:21:00	2009-05-07 14:24:36	13999	44979	13240	9536
159.142.3.99	46.209.68.65	2	21	1	2009-05-07 14:10:38	2009-05-07 14:15:38	11077	4832	12898	54573
159.142.3.99	46.209.68.65	2	21	1	2009-05-07 14:15:38	2009-05-07 14:20:38	2832	39156	3863	49614
159.142.3.99	46.209.68.65	2	21	1	2009-05-07 14:20:38	2009-05-07 14:25:38	11388	26667	2522	41751
159.142.3.99	46.209.68.65	2	21	1	2009-05-07 14:25:38	2009-05-07 14:30:13	3579	61508	3935	45135
188.239.13.83	188.239.13.83	2	2	2	2009-05-07 14:33:31	2009-05-07 14:35:22	10909	41476	9148	25865
159.142.3.99	212.154.160.206	2	2	132	2009-05-07 13:52:01	2009-05-07 13:56:36	17299	13494	3428	23299
188.239.13.83	212.154.160.206	2	21	89	2009-05-07 14:23:08	2009-05-07 14:27:54	8000	6841	2479	17513
212.154.160.206	159.142.3.99	21	21	1	2009-05-07 13:45:43	2009-05-07 13:49:21	5936	52706	13441	39962
159.142.3.99	188.239.13.83	21	2	17	2009-05-07 13:47:11	2009-05-07 13:48:43	5090	32507	129	12040
188.239.13.83	188.239.13.83	21	21	6	2009-05-07 14:21:06	2009-05-07 14:26:06	8872	40152	4017	20166
188.239.13.83	188.239.13.83	21	21	6	2009-05-07 14:26:06	2009-05-07 14:31:06	1127	59556	8308	48861
188.239.13.83	188.239.13.83	21	21	6	2009-05-07 14:31:06	2009-05-07 14:34:12	5962	40555	2958	47170
159.142.3.99	188.239.13.83	21	21	132	2009-05-07 14:05:06	2009-05-07 14:09:40	757	57480	339	16798
212.154.160.206	159.142.3.99	2	2	17	2009-05-07 14:27:12	2009-05-07 14:30:18	4017	34722	10632	19282
159.142.3.99	159.142.3.99	21	21	132	2009-05-07 14:24:34	2009-05-07 14:29:27	1247	24292	19800	718
212.154.160.206	159.142.3.99	21	21	6	2009-05-07 14:41:25	2009-05-07 14:41:43	2713	3747	19857	29708
188.239.13.83	159.142.3.99	2	21	17	2009-05-07 13:46:56	2009-05-07 13:50:56	9531	38271	5282	51908
188.239.13.83	159.142.3.99	2	2	2	2009-05-07 14:04:26	2009-05-07 14:08:46	5148	23832	1990	52323
188.239.13.83	159.142.3.99	2	21	17	2009-05-07 14:24:51	2009-05-07 14:29:39	23138	33695	17933	31176
159.142.3.99	188.239.13.83	21	2	17	2009-05-07 14:21:05	2009-05-07 14:26:05	3819	50056	3840	25787
159.142.3.99	188.239.13.83	21	2	17	2009-05-07 14:26:05	2009-05-07 14:28:28	14861	44815	9962	62842
159.142.3.99	212.154.160.206	2	2	2	2009-05-07 14:36:57	2009-05-07 14:39:15	7790	24060	230	38518
188.239.13.83	159.142.3.99	2	2	17	2009-05-07 14:37:39	2009-05-07 14:41:47	7382	59983	8774	19831
212.154.160.206	188.239.13.83	2	2	89	2009-05-07 13:47:12	2009-05-07 13:52:12	4358	9112	13614	55754
212.154.160.206	188.239.13.83	2	2	89	2009-05-07 13:52:12	2009-05-07 13:57:12	1892	38994	1579	60234
212.154.160.206	188.239.13.83	2	2	89	2009-05-07 13:57:12	2009-05-07 14:01:01	10426	44856	2989	48140
159.142.3.99	212.154.160.206	21	2	2	2009-05-07 14:15:07	2009-05-07 14:20:07	4368	65324	6412	57157
159.142.3.99	212.154.160.206	21	2	2	2009-05-07 14:20:07	2009-05-07 14:25:07	5387	44808	5256	57451
159.142.3.99	212.154.160.206	21	2	2	2009-05-07 14:25:07	2009-05-07 14:30:07	13577	63971	3608	39420
159.142.3.99	212.154.160.206	21	2	2	2009-05-07 14:30:07	2009-05-07 14:35:07	12280	1756	22299	35360
159.142.3.99	212.154.160.206	21	2	2	2009-05-07 14:35:07	2009-05-07 14:39:32	13841	12827	2020	47358
159.142.3.99	212.154.160.206	2	2	6	2009-05-07 14:24:53	2009-05-07 14:27:03	19176	9509	2978	46539
159.142.3.99	46.209.68.65	21	2	132	2009-05-07 14:15:18	2009-05-07 14:20:18	22894	40775	14431	13685
159.142.3.99	46.209.68.65	21	2	132	2009-05-07 14:20:18	2009-05-07 14:25:18	10124	24052	5522	26166
159.142.3.99	46.209.68.65	21	2	132	2009-05-07 14:25:18	2009-05-07 14:30:18	12205	40211	883	60177
159.142.3.99	46.209.68.65	21	2	132	2009-05-07 14:30:18	2009-05-07 14:34:46	3004	36230	22251	51113
159.142.3.99	159.142.3.99	21	21	2	2009-05-07 13:43:40	2009-05-07 13:46:17	12145	21795	3339	10567
188.239.13.83	188.239.13.83	21	2	132	2009-05-07 14:36:12	2009-05-07 14:41:12	4486	46001	150	24295
188.239.13.83	188.239.13.83	21	2	132	2009-05-07 14:41:12	2009-05-07 14:46:12	9885	53966	3305	25347
188.239.13.83	188.239.13.83	21	2	132	2009-05-07 14:46:12	2009-05-07 14:51:12	1324	10209	8356	20524
188.239.13.83	188.239.13.83	21	2	132	2009-05-07 14:51:12	2009-05-07 14:56:08	1114	62107	3525	24460
188.239.13.83	46.209.68.65	2	2	132	2009-05-07 14:34:31	2009-05-07 14:35:17	16023	50256	1482	48232
188.239.13.83	212.154.160.206	21	21	6	2009-05-07 14:38:57	2009-05-07 14:43:57	738	5604	14999	48286
188.239.13.83	212.154.160.206	21	21	6	2009-05-07 14:43:57	2009-05-07 14:48:57	33358	57217	6056	4528
188.239.13.83	212.154.160.206	21	21	6	2009-05-07 14:48:57	2009-05-07 14:49:40	5930	28275	4858	31047
212.154.160.206	188.239.13.83	2	21	6	2009-05-07 14:02:58	2009-05-07 14:07:58	6760	49260	5254	55568
212.154.160.206	188.239.13.83	2	21	6	2009-05-07 14:07:58	2009-05-07 14:08:27	530	15505	4104	19752
159.142.3.99	212.154.160.206	2	21	1	2009-05-07 14:30:47	2009-05-07 14:35:47	11	59630	2337	5919
159.142.3.99	212.154.160.206	2	21	1	2009-05-07 14:35:47	2009-05-07 14:36:06	2769	52720	5652	19613
212.154.160.206	188.239.13.83	2	21	89	2009-05-07 14:36:45	2009-05-07 14:40:08	240	3788	3377	36452
188.239.13.83	212.154.160.206	21	21	2	2009-05-07 14:02:46	2009-05-07 14:07:46	4270	56528	3412	48122
188.239.13.83	212.154.160.206	21	21	2	2009-05-07 14:07:46	2009-05-07 14:12:46	6954	13664	4108	36402
188.239.13.83	212.154.160.206	21	21	2	2009-05-07 14:12:46	2009-05-07 14:17:46	5282	17779	9798	63505
188.239.13.83	212.154.160.206	21	21	2	2009-05-07 14:17:46	2009-05-07 14:18:55	14827	41802	307	52977
46.209.68.65	188.239.13.83	21	2	17	2009-05-07 13:53:41	2009-05-07 13:58:41	6193	4463	12794	54837
46.209.68.65	188.239.13.83	21	2	17	2009-05-07 13:58:41	2009-05-07 13:59:01	10583	43680	3786	11004
