number,protocol,name,description,origin
1,"tcp","tcpmux","TCP Port Service Multiplexer","i"
2,"tcp","compressnet","Management Utility","i"
3,"tcp","compressnet","Compression Process","i"
3,"tcp","compressnet","Midnight Commander Sometimes this program is assigned to this port","o"
5,"tcp","rje","Remote Job Entry","i"
7,"tcp","echo","Echo","i"
9,"tcp","discard","Discard","i"
11,"tcp","systat","Active Users","i"
13,"tcp","daytime","Daytime (RFC 867)","i"
17,"tcp","qotd","Quote of the Day","i"
18,"tcp","msp","Message Send Protocol","i"
19,"tcp","chargen","Character Generator","i"
20,"tcp","ftp-data","File Transfer [Default Data]","i"
21,"tcp","ftp","File Transfer [Control]","i"
22,"tcp","ssh","SSH Remote Login Protocol","i"
23,"tcp","telnet","Telnet","o"
25,"tcp","smtp","Simple Mail Transfer","i"
27,"tcp","nsw-fe","NSW User System FE","i"
29,"tcp","msg-icp","MSG ICP","i"
31,"tcp","msg-auth","MSG Authentication","i"
33,"tcp","dsp","Display Support Protocol","i"
37,"tcp","time","Time","i"
38,"tcp","rap","Route Access Protocol","i"
39,"tcp","rlp","Resource Location Protocol","i"
41,"tcp","graphics","Graphics","i"
42,"tcp","name","Host Name Server","i"
42,"tcp","nameserver","Host Name Server","i"
43,"tcp","nicname","Who Is","i"
44,"tcp","mpm-flags","MPM FLAGS Protocol","i"
45,"tcp","mpm","Message Processing Module [recv]","i"
46,"tcp","mpm-snd","MPM [default send]","i"
47,"tcp","ni-ftp","NI FTP","i"
48,"tcp","auditd","Digital Audit Daemon","i"
49,"tcp","tacacs","Login Host Protocol (TACACS)","i"
50,"tcp","re-mail-ck","Remote Mail Checking Protocol","i"
51,"tcp","la-maint","IMP Logical Address Maintenance","i"
52,"tcp","xns-time","XNS Time Protocol","i"
53,"tcp","domain","Domain Name Server","i"
54,"tcp","xns-ch","XNS Clearinghouse","i"
55,"tcp","isi-gl","ISI Graphics Language","i"
56,"tcp","xns-auth","XNS Authentication","i"
58,"tcp","xns-mail","XNS Mail","i"
61,"tcp","ni-mail","NI MAIL","i"
62,"tcp","acas","ACA Services","i"
63,"tcp","whois++","whois++","i"
64,"tcp","covia","Communications Integrator (CI)","i"
65,"tcp","tacacs-ds","TACACS-Database Service","i"
66,"tcp","sql*net","Oracle SQL*NET","i"
67,"tcp","bootps","Bootstrap Protocol Server","i"
68,"tcp","bootpc","Bootstrap Protocol Client","i"
69,"tcp","tftp","Trivial File Transfer","i"
70,"tcp","gopher","Gopher","i"
71,"tcp","netrjs-1","Remote Job Service","i"
72,"tcp","netrjs-2","Remote Job Service","i"
73,"tcp","netrjs-3","Remote Job Service","i"
74,"tcp","netrjs-4","Remote Job Service","i"
76,"tcp","deos","Distributed External Object Store","i"
78,"tcp","vettcp","vettcp","i"
79,"tcp","finger","Finger","i"
80,"tcp","http","World Wide Web HTTP","i"
80,"tcp","www","World Wide Web HTTP","i"
80,"tcp","www-http","World Wide Web HTTP","i"
81,"tcp","hosts2-ns","HOSTS2 Name Server","i"
82,"tcp","xfer","XFER Utility","i"
83,"tcp","mit-ml-dev","MIT ML Device","i"
84,"tcp","ctf","Common Trace Facility","i"
85,"tcp","mit-ml-dev","MIT ML Device","i"
86,"tcp","mfcobol","Micro Focus Cobol","i"
88,"tcp","kerberos","Kerberos","i"
89,"tcp","su-mit-tg","SU/MIT Telnet Gateway","i"
90,"tcp","dnsix","DNSIX Securit Attribute Token Map","i"
91,"tcp","mit-dov","MIT Dover Spooler","i"
92,"tcp","npp","Network Printing Protocol","i"
93,"tcp","dcp","Device Control Protocol","i"
94,"tcp","objcall","Tivoli Object Dispatcher","i"
95,"tcp","supdup","SUPDUP","i"
96,"tcp","dixie","DIXIE Protocol Specification","i"
97,"tcp","swift-rvf","Swift Remote Virtural File Protocol","i"
98,"tcp","tacnews","TAC News","i"
